trillion_US$,what,notes / story / interesting fact,category,year,source,source URL,
1,Apple & Amazon market value,,hoarding,2018,NY Times,https://www.nytimes.com/2018/07/31/technology/apple-earnings-report.html?action=click&module=Top%20Stories&pgtype=Homepage,
1.0,Corruption in developing countries,Developing countries are deprived of this amount per year,losing,2014,One,https://s3.amazonaws.com/one.org/pdfs/Trillion_Dollar_Scandal_report_EN.pdf,
1.4,To reach Sustainable Development Goals (SDGs),Annual cost of meeting sustainable development goals in lower & middle-income countries by 2030,spending,2015,Guardian,http://www.theguardian.com/global-development/2015/nov/18/14tn-dollars-a-year-needed-to-reach-global-goals-for-world-poorest?CMP=Share_iOSApp_Other,
1.6,Money laundered globally,Global value,losing,2014,United Nations,http://www.uneca.org/sites/default/files/uploaded-documents/ADF/ADF9/adf_ix-issues_paper_2-illicit_financial_flows.pdf,
1.7,All military budgets ,,fighting,2015,SIPRI,https://docs.google.com/spreadsheets/d/1ODLoOpc6RawyZNloyCtSSpmqvQqytqT86_mEWzLNxsg/edit#gid=2033118137,
1.7,Cost of obesity to the USA,"The estimate includes $480.7 billion in direct health-care costs and $1.24 trillion in lost productivity, ",losing,2018,Milken Institute,http://www.milkeninstitute.org/newsroom/press-releases/view/348,
2.4,Global fashion industry,And apparently it's been a tough year. ,earning,2016,McKinsey,http://www.mckinsey.com/industries/retail/our-insights/the-state-of-fashion,
2.4,India GDP,2017. $2.4tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
2.6,France GDP,2017. $2.575tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
2.6,UK GDP,2017. $2.565tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
2.9,Cost of extreme weather over last 20 years,,losing,2017,CBC,https://www.cbc.ca/news/technology/losses-from-climate-disasters-surge-to-2-9t-over-last-20-years-un-says-1.4856708,
3.0,Top 20 internet companies,,earning,2016,Washington Post,https://www.washingtonpost.com/news/innovations/wp/2016/06/02/the-15-most-important-slides-in-mary-meekers-internet-trends-report/,
3.0,Cost of the Iraq & Afghanistan wars,,earning,2016,Washington Post,https://www.washingtonpost.com/news/innovations/wp/2016/06/02/the-15-most-important-slides-in-mary-meekers-internet-trends-report/,
3.7,Germany GDP,2017. $3.7tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
4.2,Global wellness industry,,earning,2018,Fast Company,https://www.fastcompany.com/90247896/these-10-market-trends-turned-wellness-into-a-4-2-trillion-global-industry,
4.9,Japan GDP,2017. $4.9tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
5.5,Total corporate debt,"Today, according to the Institute of International Finance, a banking trade group, corporate debt in foreign currencies is $5.5 trillion, the most ever.",losing,2018,New York Times,https://www.nytimes.com/2018/08/11/business/turkey-lira-crisis.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news,
5.8,China's suspected hidden debt (estimated),,hoarding,2018,Bloomberg,https://www.bloomberg.com/news/articles/2018-10-16/china-may-have-5-8-trillion-in-hidden-debt-with-titanic-risks,
5.9,Amount spent by US on War ,"funds for Iraq and Afghanistan make up $1.8 trillion of its total alone, with Iraq costing $822 billion and Afghanistan costing $975 billion.

Syria has cost $54 billion, Pakistan has cost $10 billion, the post-9/11 homeland security mission known as Operation Noble Eagle has cost $23 billion and other war funds for Africa and Europe have cost $137 billion, the study adds.",fighting,2018,The Hill,https://thehill.com/policy/defense/416663-study-us-has-spent-nearly-6t-on-war-since-9-11,
8.9,All billionaires,"Total combined wealth of all the world's 1,810 billionaires",hoarding,2018,Bloomberg,https://www.bloomberg.com/news/videos/2018-10-26/billionaires-wealth-swells-to-record-8-9-trillion-video,
6.7,Total debt of low and middle income countries,$6.7tn. 2016.,owing,2016,World Bank,http://www.worldbank.org/en/news/feature/2015/04/18/raising-trillions-for-climate-finance,http://www.worldbank.org/en/news/press-release/2016/12/14/global-economy-sees-sharp-contraction-in-short-term-debt-flows-foreign-direct-investment-remains-steady-world-bank
8.8,"To make all buildings, transport & industrial systems energy efficient",,spending,2015,Worldbank,http://www.worldbank.org/en/news/feature/2015/04/18/raising-trillions-for-climate-finance,
4.4,Deploy low-carbon tech worldwide,,spending,2015,Worldbank,http://www.worldbank.org/en/news/feature/2015/04/18/raising-trillions-for-climate-finance,
12.2,China GDP,2017. $11.9tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
13.0,"US Household debt (mortgages, car loans etc)",Outstanding in 2017. $13.29tn.,owing,2017,Federal Reserve,https://www.newyorkfed.org/microeconomics/hhdc.html,http://www.businessinsider.com/consumer-debt-surges-and-subprime-auto-delinquencies-rise-2017-11?IR=T
15.0,Cost of the 2007/08 financial crisis,2008-2012,losing,2012,Wall Street Journal,http://blogs.wsj.com/economics/2012/10/01/total-global-losses-from-financial-crisis-15-trillion/,
15.2,EU Government debt,2016. €12400bn. Government debt of all 28 countries in the Euro area.,losing,2016,Eurostat,http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=teina225&language=en,
16.5,For the world to meet Paris climate change targets by 2030,"$16.5tn. 2015. Replacing fossil fuels with renewable energy & improving efficiency of appliances & manufacturing, by 2030. ",spending,?,Independent,http://www.independent.co.uk/environment/climate-change/cop21-hitting-the-climate-change-targets-agreed-in-paris-will-cost-165trn-a6771816.html,
19.4,US GDP,2017. $19.4tn.,earning,2017,CNN,http://money.cnn.com/2017/11/22/news/economy/uk-france-biggest-economies-in-the-world/index.html,
21.0,US government debt,,owing,2018,Business Insider,https://www.businessinsider.com/us-debt-21-trillion-credit-agencies-2018-4/?r=AU&IR=T,http://www.bbc.co.uk/news/business-41248503
21.0,Money in all the world's central banks,$21tn. 2016.,banking,2016,Bloomberg,https://www.bloomberg.com/news/articles/2016-10-16/big-central-bank-assets-jump-fastest-in-5-years-to-21-trillion,
26.5,Wealth hidden offshore by the rich,Estimates range from $21-32tn. ,hoarding,2012,Mother Jones,http://www.motherjones.com/mojo/2012/07/super-rich-trillions-offshore-tax-havens,
27.6,Total combined value of Fortune 500 companies,Combined revenues of Fortune 500 companies.,earning,2017,Fortune,http://fortune.com/global500,
57.0,Worldwide debt increase since financial crisis,2007-2015,losing,2015,NY Times,http://www.nytimes.com/2015/02/06/upshot/global-debt-has-risen-by-57-trillion-since-the-financial-crisis-heres-why-that-is-scary.html?_r=0,
75.6,World GDP,2016. $75.6tn. Combined total of all the world's GDP.,earning,2016,Business Insider,http://uk.businessinsider.com/wealthy-money-offshore-makes-inequality-look-even-worse,
89.0,Infrastructure investment required before 2030 for global growth,"Infrastructure spending required to keep within the internationally agreed limit of a 2 degree celsius temperature increase, by 2030.",spending,2015,World Bank,http://www.worldbank.org/en/news/feature/2015/04/18/raising-trillions-for-climate-finance,
127.0,Wealth of the 1%,Cash & assets owned by the richest 1% of people worldwide.,hoarding,2014,Mother Jones,http://www.motherjones.com/politics/2014/10/2014-global-wealth-report,
1.0,Potential energy savings from buildings upgrades,"If $279billion were invested in the US in retrofitting buildings with eco solutions, it would yield more than $1 trillion in energy savings over 10 years—equal to 30% of the country’s annual spending on electricity.",earning,2017,Drawdown,https://www.drawdown.org/,
1.1,China's billionaires,Total wealth of 338 billionaires,hoarding,2018,CNBC,https://www.cnbc.com/2018/05/15/the-countries-with-the-most-billionaires.html,
3.2,USA's billionaires,Total wealth of 680 billionaires,hoarding,2018,CNBC,https://www.cnbc.com/2018/05/15/the-countries-with-the-most-billionaires.html,
29,World's oil wealth,,earning,2018,World Bank,https://datacatalog.worldbank.org/dataset/wealth-accounting,
16.2,MENA oil wealth,,earning,2018,World Bank,https://datacatalog.worldbank.org/dataset/wealth-accounting,
10.5,World's metals & minerals wealth,,earning,2018,World Bank,https://datacatalog.worldbank.org/dataset/wealth-accounting,
6.0,Funds committed to fossil fuel divestment,Almost 1000 institutional investors have collectively pledged to divest this amount from fossil fuels,losing,2018,Guardian,https://www.theguardian.com/environment/2018/sep/10/fossil-fuel-divestment-funds-rise-to-6tn,
7.7,Savings from wind turbines,"At a combined cost of $1.8 trillion, wind turbines can deliver net savings of $7.7 trillion over three decades of operation.",earning,2018,Drawdown,https://www.drawdown.org/,
4.5,China's Belt & Road initiative,Median estimate,spending,2019,Centre for Strategic & International Studies,https://www.csis.org/analysis/how-big-chinas-belt-and-road,
3.6,US healthcare spending,,spending,2018,CMS,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsHistorical,